AssessmentId,StudentRollNumber,CourseId,InternalMarks,FinalMarks,CalculatedGrade,AssessmentDate,AssessmentType,IsSubmitted,SubmissionDate,Remarks
PE101_S1_005,20,PE101,88.0,100.0,88.0,2024-11-12,Skills Test,Yes,2024-11-12,Strong performance and team spirit
SOC101_Q2_001,21,SOC101,16.0,20.0,80.0,2024-11-15,Quiz,Yes,2024-11-15,Good understanding of community concepts
SOC101_Q2_002,22,SOC101,18.0,20.0,90.0,2024-11-15,Quiz,Yes,2024-11-15,Excellent knowledge of local geography
SOC101_Q2_003,23,SOC101,19.0,20.0,95.0,2024-11-15,Quiz,Yes,2024-11-15,Outstanding cultural awareness and understanding
SOC101_Q2_004,24,SOC101,15.0,20.0,75.0,2024-11-15,Quiz,Yes,2024-11-15,Developing understanding needs more study
SOC101_Q2_005,25,SOC101,17.0,20.0,85.0,2024-11-15,Quiz,Yes,2024-11-15,Good grasp of social studies concepts
TECH101_P2_001,26,TECH101,32.0,40.0,80.0,2024-11-18,Project,Yes,2024-11-18,Good computer skills and digital literacy
TECH101_P2_002,27,TECH101,36.0,40.0,90.0,2024-11-18,Project,Yes,2024-11-18,Excellent understanding of technology concepts
TECH101_P2_003,28,TECH101,38.0,40.0,95.0,2024-11-18,Project,Yes,2024-11-18,Outstanding programming logic and creativity
TECH101_P2_004,29,TECH101,30.0,40.0,75.0,2024-11-18,Project,Yes,2024-11-18,Shows interest needs more practice
TECH101_P2_005,30,TECH101,34.0,40.0,85.0,2024-11-18,Project,Yes,2024-11-18,Strong technical skills and problem solving
MUSIC101_P3_001,31,MUSIC101,22.0,25.0,88.0,2024-11-20,Performance,Yes,2024-11-20,Beautiful musical expression and rhythm
MUSIC101_P3_002,32,MUSIC101,20.0,25.0,80.0,2024-11-20,Performance,Yes,2024-11-20,Good musical ability needs confidence
MUSIC101_P3_003,33,MUSIC101,24.0,25.0,96.0,2024-11-20,Performance,Yes,2024-11-20,Exceptional musical talent and stage presence
MUSIC101_P3_004,34,MUSIC101,19.0,25.0,76.0,2024-11-20,Performance,Yes,2024-11-20,Shows musical potential needs more practice
MUSIC101_P3_005,35,MUSIC101,23.0,25.0,92.0,2024-11-20,Performance,Yes,2024-11-20,Strong musical skills and interpretation
MATH201_Q3_001,36,MATH201,17.0,20.0,85.0,2024-11-22,Quiz,Yes,2024-11-22,Advanced mathematical thinking and accuracy
MATH201_Q3_002,37,MATH201,19.0,20.0,95.0,2024-11-22,Quiz,Yes,2024-11-22,Outstanding problem solving abilities
MATH201_Q3_003,38,MATH201,18.0,20.0,90.0,2024-11-22,Quiz,Yes,2024-11-22,Excellent understanding of complex concepts
MATH201_Q3_004,39,MATH201,16.0,20.0,80.0,2024-11-22,Quiz,Yes,2024-11-22,Good progress in advanced mathematics
MATH201_Q3_005,40,MATH201,17.0,20.0,85.0,2024-11-22,Quiz,Yes,2024-11-22,Strong analytical skills and reasoning
ENG201_E2_001,41,ENG201,23.0,25.0,92.0,2024-11-25,Essay,Yes,2024-11-25,Advanced writing skills and literary analysis
ENG201_E2_002,42,ENG201,21.0,25.0,84.0,2024-11-25,Essay,Yes,2024-11-25,Good critical thinking needs style refinement
ENG201_E2_003,43,ENG201,24.0,25.0,96.0,2024-11-25,Essay,Yes,2024-11-25,Exceptional literary insight and expression
ENG201_E2_004,44,ENG201,20.0,25.0,80.0,2024-11-25,Essay,Yes,2024-11-25,Developing advanced skills shows potential
ENG201_E2_005,45,ENG201,22.0,25.0,88.0,2024-11-25,Essay,Yes,2024-11-25,Strong analytical writing and creativity
SPAN101_O1_001,46,SPAN101,36.0,40.0,90.0,2024-11-28,Oral Exam,Yes,2024-11-28,Excellent pronunciation and vocabulary
SPAN101_O1_002,47,SPAN101,32.0,40.0,80.0,2024-11-28,Oral Exam,Yes,2024-11-28,Good effort needs practice with grammar
SPAN101_O1_003,48,SPAN101,38.0,40.0,95.0,2024-11-28,Oral Exam,Yes,2024-11-28,Outstanding language skills and fluency
SPAN101_O1_004,49,SPAN101,30.0,40.0,75.0,2024-11-28,Oral Exam,Yes,2024-11-28,Shows promise needs more confidence
SPAN101_O1_005,50,SPAN101,35.0,40.0,88.0,2024-11-28,Oral Exam,Yes,2024-11-28,Strong language development and cultural understanding
